brand_aliases	brand_aliases_brand_id_fkey	brand_id	car_brands	id
part_aliases	part_aliases_part_id_fkey	part_id	parts_catalog	id
part_cross_reference	part_cross_reference_part_id_fkey	part_id	parts_catalog	id
part_variants	part_variants_catalog_part_id_fkey	catalog_part_id	parts_catalog	id
part_variants	part_variants_master_part_id_fkey	master_part_id	parts_master	id
part_vehicle_fitment	part_vehicle_fitment_part_id_fkey	part_id	parts_catalog	id
parts_images	parts_images_part_id_fkey	part_id	parts_catalog	id
price_history	price_history_supplier_part_id_fkey	supplier_part_id	supplier_parts	id
purchase_orders	purchase_orders_supplier_id_fkey	supplier_id	suppliers	id
supplier_parts	supplier_parts_part_id_fkey	part_id	parts_catalog	id
supplier_parts	supplier_parts_supplier_id_fkey	supplier_id	suppliers	id
truck_brand_aliases	truck_brand_aliases_brand_id_fkey	brand_id	truck_brands	id
